body,title
"
[email protected]
Una selva frondosa cobija uno de los paraísos naturales más bellos de México: la Huasteca Potosina. Aquí, el viajero encuentra cascadas, parques, hoteles ecológicos y recintos donde el arte surrealista se mezcla con la naturaleza.
Te revelamos algunas joyas que merecen ser contempladas en tu próximo viaje.
Pedalea sobre Micos
Si te gustan las emociones fuertes, debes saber que existe un circuito de cinco tirolesas, único en Latinoamérica, en las que puedes deslizarte montado en una bicicleta. Mientras avanzas, puedes ver las siete cascadas escalonadas de Micos, famosas por su color turquesa.
El circuito tiene una longitud de 165 metros. Después de recorrerlos, desciendes de la bici para continuar por un puente colgante y observar cómo miles de árboles van delimitando el cauce del agua.
 (Foto: Cortesía Aventure Land) 
La experiencia termina con un rappel en la Cascada del Toro, de 20 metros de altura. Ve preparado porque terminarás empapado.
Jaguares a la vistaSelva Teenek Eco Park es una Unidad de Manejo para la Conservación de la Vida Silvestre (UMA) enfocada en felinos. Recientemente, el proyecto recibió, por parte de Sectur federal, el reconocimiento a la “Diversificación del Producto Turístico Mexicano” en la categoría de turismo de naturaleza. El premio fue entregado en la edición 44 del Tianguis Turístico que se celebró en Acapulco, la semana pasada.
La observación de jaguares, pumas y linces es una de las actividades más significativas que ofrece la UMA.
 (Foto: Pablo Rodriguez Merkel) 
Las especies que se exhiben en el parque fueron entregadas por la Procuraduría Federal de Protección al Ambiente (Profepa). Son animales que no pueden ser reintegrados a la vida silvestre por dos motivos: fueron utilizados como mascota o fueron retirados de sus madrigueras a temprana edad, lo que impidió que aprendieran las habilidades de caza y escape requeridas para sobrevivir en la selva.
Selva Teenek Eco Park ofrece a los viajeros que deseen aprender sobre felinos, hospedaje en cabañas construidas con materiales naturales de la región, como barro y palma.
 



Artículo


Así es la Procesión del Silencio en San Luis Potosí

Destinos


Esta solemne tradición está por cumplir 66 años 








Dentro de cada cabaña se pueden consultar libros de educación ambiental y fotografía, para conocer más sobre las riquezas naturales de México.
El legado de Leonora Carrington
El Pueblo Mágico de Xilitla fue elegido para albergar el segundo museo dedicado a la artista surrealista Leonora Carrington.
Ubicado en el centro del pueblo, el recinto muestra 63 esculturas, algunas de gran formato, y una exposición de 25 máscaras de bronce en formato pequeño, así como dos tapices de lana, grabados, fotografías, dibujos, cinco litografías y herramientas de trabajo de la artista.
 (Foto: Cortesía Visita San Luis Potosí) 
Debido a que Leonora Carrington viajó varias veces a Xilitla para visitar a Edward James, quien fue su mecenas para el desarrollo de sus obras, es que se decidió instalar el museo en esta zona.
Después de conocerlo, te recomendamos visitar el Jardín Escultórico de Edward James, un espacio mágico en medio de la selva que está conformado por figuras de concreto, de diferentes tamaños, inspiradas en los sueños del propio artista. Que no te sorprenda ver escaleras que no llevan a ninguna parte, manos escondidas entre los árboles o castillos sostenidos por columnas espigadas.
“Anida” en la selvaTapasoli ofrece un novedoso concepto de hospedaje: dormir en una habitación con forma de nido colgado de un árbol para disfrutar de los sonidos de la selva.
Las habitaciones fueron construidas de palma. En su interior hay una cama para dos personas, protegida por un velo. El baño y la ducha son privados, sin embargo, se encuentran al aire libre.
 (Foto: Cortesía Tapasoli) 
El hotel también cuenta con cabañas para familias. En su menú de actividades incluyen recorridos a la cascada de Tamul, al Sótano de las Golondrinas y a ríos para sortear rápidos en lanchas inflables.
",Visita las cascadas de la Huasteca Potosina y súbete a la tirolesa en bicicleta
"
“Hobbs and shaw” es la película alterna que se desprende de la famosa franquicia de “Rápidos y furiosos” y en cuyo nuevo trailer se puede observar la participación de la mexicana Eiza González.
Esta mañana se ha revelado el nuevo avance de esta cinta protagonizada por Dwayne Johnson y Jason Statham en el cual se puede ver más acerca de lo que será esta anticipada cinta que su director David Leitch aseguró en entrevista con EL UNIVERSAL, planea ser el inicio de una nueva franquicia que será mucho más que autos y carreras clandestinas.
""Creo que esta película estará un poco más enfocada en la raíz de los personajes, porque es el comienzo. Es una historia de origen, en cierto sentido.  No es una historia de origen tal cual por qué está aventura sucede después de lo que hemos visto en “Rápidos y furiosos”, pero estamos empezando una franquicia”, detalló en entrevista telefónica Leitch.
Esto se puede comprobar con el nuevo avance de más de tres minutos en el que se puede ver cómo los personas de Jonson y Statham se vuelven un poco más espías secretos y planean acabar con los planes terroristas del persona de Idris Elba, quien al parecer será el Villano del filme.
“Yo describiría este filme más como una película de espías que una de carreras de autos. Quisimos poner a prueba la amistad y lealtad de estos personajes y a su vez tener grandes escenas de acción que se esperarían en este tipo de franquicia. queremos tener nuestra propia versión del universo “Rápido y furioso”. Fast. 
El director, quien se hizo popular por dirigir la segunda parte de “Deadpool” además aseguró que aunque el personaje de Eiza González sale un par de segundos en el trailer, tendrá una importancia preponderante dentro de la cinta que se podrá ver en la cartelera mexicana el nueve de agosto.
“Definitivamente tendrá elementos del ADN original, pero está más arraigado a la palabra espía de Shaw y al mundo agente de Dwayne y, obviamente, queremos construir sobre su relación, su conflicto, sus bromas. Esa química que tienen entre ellos, eso es lo que está impulsando la película "", añadió David.

al
","Eiza González, en tráiler de “Hobbs and shaw”, spin-off de ""Rápidos y Furiosos"""
" 0 % PULSO SOCIAL0 Melissa Joan Hart se convirtió en una estrella en la década de los 90 al protagonizar la serie Sabrina, la bruja adolescente, programa en el que narraba las aventuras de una joven hechicera que vivía con sus tías Hilda y Zelda, y su adorable y extraño gato, Salem.
La actriz, que nació el 18 de abril de 1976, en Smithtown, Nueva York, había protagonizado anteriormente otra serie llamada Clarissa lo explica todo, la cual se transmitió de 1991 a 1994, y que también tuvo aceptación entre el público.
",
"

Transparencia radical para todos. Sin filtros, sin sutilezas, sin autorización de sus custodios. Información en bruto, con nombres, fechas y datos. A solo un clic de distancia. Así es como Julian Assange imaginó que Wikileaks se convertiría en la plataforma ideal para publicar secretos filtrados, en particular los vinculados a guerra, espionaje y corrupción.

El impacto del método mostró al mundo la evasión fiscal del consorcio suizo Julius Baer. El banco proporcionaba a importantes clientes de Estados Unidos, Perú, Europa y China cuentas no declaradas, protegidas por el secreto bancario suizo. La filtración activaría una investigación por parte del Departamento de Justicia de Estados Unidos que develó una trama que involucra a otras 12 entidades financieras. Wikileaks difundió también “Asesinato Colateral”: el crudo video de un helicóptero del ejército estadounidense asesinando a 12 civiles en las calles de Bagdad, incluidos dos periodistas de Reuters. Estos iban “armados” con cámaras y libretas. La revelación de los “Diarios de Guerra” en Afganistán e Irak con más de 500 mil documentos confidenciales se convirtió en una avalancha de información, difícilmente digerible para el ciudadano común. Por eso un consorcio de cinco periódicos con reconocimiento internacional, se alió con la organización para revisar contenidos, proteger datos personales y hacer las publicaciones un poco más accesibles.

El fenómeno Wikileaks marcó una nueva era para el periodismo moderno con Assange como gran editor de los secretos mundiales. En trece años de existencia, el tamaño de la fuga de información fue enorme: más de diez millones de documentos al alcance de todos. Visto en perspectiva, Wikileaks no logró el cambio político deseado. Por el contrario, puso sobre la mesa una serie de cuestiones problemáticas. En primer lugar, la vulnerabilidad informática de las instituciones políticas y financieras. Los gobiernos y las agencias de seguridad expuestas modificaron métodos de registro, acceso y publicidad de información vinculada a seguridad nacional. Esto sin contar las leyes que restringen y penalizan su difusión. En segundo lugar Wikileaks aparece en la era en que el crimen organizado y las amenazas terroristas alimentan la necesidad de los gobiernos por mejorar las capacidades de control y vigilancia sobre los ciudadanos. Con las nuevas tecnologías, la disolución de los límites entre esfera pública y privada, soñada por los gobiernos totalitarios de antaño, es posible. Lejos de evolucionar hacia un mundo más abierto, con reglas claras sobre el interés público de la información, estamos frente a uno más contenido y paranoico.

El excesivo protagonismo de Assange ha mostrado a una organización llena de contradicciones. El documental Risk de Laura Poitras, muestra a un narcisista que se autodefine como una persona fuera de lo común, “con un complejo de dios”. Quizás esta sea la explicación de la difusión de correos de los equipos de campaña de Hillary Clinton y Emmanuel Macron, algo que claramente no contribuyó a fortalecer procesos democráticos.

 Hace unos días, Ecuador decidió retirarle el asilo diplomático que gozaba el activista en su sede en el Reino Unido. El motivo expuesto fue la violación reiterada de las normas de convivencia. Hacer de este hecho un ataque frontal a la libertad de expresión es simplemente un exceso.

Coordinadora de la Red por la Rendición de Cuentas
",Assange: del mito al ego
"
CDMX.- Debido al periodo vacacional, las autopistas México-Puebla y México-Cuernavaca, en sus salidas de la capital mexicana, registran carga vehicular, informó Caminos y Puentes Federales de Ingresos y Servicios Conexos (Capufe).
Ante ello, en su cuenta @CAPUFE de Twitter, el organismo de la Secretaría de Comunicaciones y Transportes (SCT) recomendó a los automovilistas conducir con precaución.
 

#AutMexicoPuebla dirección Puebla. Se registra carga vehicular por periodo vacacional. Tome sus precauciones y maneje con precaución.
 — CAPUFE (@CAPUFE) 18 de abril de 2019
  
 

 #AutMexicoCuernavaca dirección Cuernavaca. Se registra carga vehicular por periodo vacacional. Tome sus precauciones y maneje con precaución.
 — CAPUFE (@CAPUFE) 18 de abril de 2019
  
 ",Autopistas México-Puebla y México-Cuernavaca presentan carga vehicular
"
Texto: Patricia Plata CruzDiseño web: Miguel Ángel Garnica
 

Compara el antes y después deslizando la barra central
(clic aquí para ver más grande)


  
El incendio de la Catedral de Notre Dame nos hace recordar que hace más de medio siglo la Catedral Metropolitana de la Ciudad de México también se prendió en fuego. Un incendio puso en peligro obras históricas, como un documento de 1529 donde se nombraba a Hernán Cortés gobernador de la Nueva España, el cual fue rescatado.
Eran las 11:45 de la noche del martes 17 de enero de 1967, cuando dos policías que hacían su ronda en la patrulla 151 notaron que salía humo de la catedral, en la parte que da hacia la calle de Monte de Piedad.
Ellos se dieron cuenta que la Catedral Metropolitana de la Ciudad de México ardía en llamas debido a un corto circuito cercano al Altar del Perdón. Los oficiales hicieron un llamado de emergencia y llegaron 27 elementos del Cuerpo de Bomberos, a bordo de 3 bombas, un tanque y un transporte.
De acuerdo con la información publicada en este diario, al lugar del siniestro también asistieron elementos del Cuerpo de Tránsito, ambulancias de las cruces Roja y Verde, la Policía Judicial y altos jefes policiacos entre los que se encontraban el general Raúl Mendiolea Cerecero, quien estuvo involucrado en las masacres de Tlatelolco y el Halconazo.La Cruz Roja y el Heroico Cuerpo de Bomberos acudieron puntuales a la conflagración en Catedral Metropolitana. Fotografía de El Universal.
El par de veladores de la catedral, Ignacio Basurto y Porfirio Guzmán ya habían dado aviso al sacristán Jesús Pérez y al deán monseñor Ramón García Plaza de que el llamado Altar del Perdón estaba siendo consumido en llamas, cuando los bomberos llegaron y les indicaron los lugares donde se corría más peligro.
Uno de los mayores riesgos era el desprendimiento del estucado, ya que se consideraba una amenaza para los bomberos.
Mientras se trataba de controlar el fuego, fue instalada una planta de luz a la 1:30 de la madrugada del martes 18, para poder iluminar el interior, ya que estaba completamente oscurecido por el humo y dificultaba las labores de extinguir el fuego.
Transcurrieron las horas, a las dos de la madrugada, las llamas aún no cedían y ya se habían consumido en un 80% el Cristo del Perdón, las pinturas del siglo XVI ""La Santísima Virgen de Pereyns"" y ""San Esteban de Baltazar Echave"" (del cual sólo quedó el marco de oro), además de otros quince cuadros y el fresco de “La Asunción” en la cúpula.Plano de ubicación y contenido del Altar del Perdón, al interior de Catedral Metropolitana. Imagen en acervo de El Universal.
Para esa hora, la sillería de madera de cedro que databa del siglo XVI, ya se encontraba en cenizas. Constaba de un total de 70 sillas distribuidas en dos hileras, aunque días después se dijo que los asientos perdidos fueron 75 de 99. El coro también fue víctima de las llamas.
A las 2:30 de la madrugada comenzó a incendiarse la viga central, donde se corría un riesgo mayor, ya que de ahí pendía el candil de más de una tonelada de peso. Los vitrales de la cúpula volaron en pedazos por la presión del calor, pero esto funcionó como una especie de chimenea, de donde salían llamas y posteriormente el humo, esto sirvió para que el fuego no se expandiera a otros lugares, como el Altar de los Reyes.
La famosa linternilla de la cúpula de la Catedral Metropolitana, sufrió en el incendio el que muchos vidrios se estrellaran y otros se fundieran.  En la imagen se observan los trabajos de reposición. Fotografía de El Universal. 
Un cuarto de hora más tarde, se había desprendido las laminillas de oro en el Altar de los Reyes, pero ya no existía el peligro de propagación del fuego a otras partes de la Catedral Metropolitana. A las 3 de la madrugada, el fuego ya estaba controlado.
El primer cuerpo del Altar del Perdón resistió a las llamas, pero la talla dorada y policromada que lo adornaban quedó maltrecha. Los daños se intensificaron con la presión de los chorros de agua, a pesar de que los bomberos tuvieron instrucciones de ser cuidadosos.
Cecilia Colin, estudiante de la licenciatura en Restauración por la Escuela Nacional de Conservación, Restauración y Museografía ""Manuel del Castillo Negrete"" (ENCRyM) comenta que la importancia histórica de este trágico evento recae en que la Catedral Metropolitana es un recinto que resguarda el trabajo artístico de muchos años. Los objetos que alberga, a nivel técnico, representan el conocimiento tradicional de siglos de experimentación y dominio de los materiales. Su destrucción es la pérdida de esos saberes que los restauradores e historiadores estudian.
Al momento de la limpieza fueron encontradas, detrás del altar, 51 pinturas de Miguel Cabrera, José de Ibarra y los hermanos Nicolás y Juan Rodríguez Juárez, reconocidos pintores del barroco novohispano, además, en el interior de los órganos, una copia de un documento de 1529 donde se nombraba a Hernán Cortés como gobernador de la Nueva España.
También se encontró que el agua de las mangueras diluyó la tinta de 5 misales del siglo XIII, pintados al óleo y que contenían cantos gregorianos. Otras de las pinturas afectadas fueron “La Santa Faz” de Alonso López de Herrera y “El Martirio de San Sebastián” de Francisco Zumaya.
Los bomberos, trabajando entre tesoros carbonizados, en el ángulo que da hacia el suroeste, en el Altar del Perdón, cuyo óleo, inestimable en valor quedo totalmente destruido por el fuego. Se aprecia también, la puerta de acceso al coro y crujía. Pese a todo, el voraz elemento respetó, por intervención de los abnegados tragahumo, esculturas, pinturas y tallados. Fotografía de El Universal.
Las llamas persistieron durante tres horas, pero el humo y el calor estuvieron presentes un día entero, es por eso que a las 9 de la mañana del jueves 19, el arquitecto Jorge L. Medellín, subsecretario de Bienes Inmuebles y Urbanismo de SEPANAL (Secretaría del Patrimonio Nacional), acompañado de los técnicos en estructuras arquitectónicas y resistencia de materiales Manuel González Flores, Luis González Aparicio, Alberto J. Flores y Luis Ortiz Macedo, hicieron una valoración de los posibles daños estructurales que habría sufrido la Catedral.
Al terminar el recorrido, a las 12:30 de la tarde, se dio a conocer que a pesar de la intensidad del siniestro, la estructura y la cimentación estaban íntegras. También se dijo que lo que resultó afectado fue la nave donde se localizaba el coro, los órganos, el Altar del Perdón y todas las piezas de ornato.
Los trabajos de aislamiento duraron hasta el sábado 21 de enero, para esto se hicieron muros de protección de hierro y madera. Al día siguiente, se canceló la misa de las 8 de la mañana, ya que el aplanado y el estuco continuaban desprendiéndose y era un riesgo para los feligreses, así que la misa se efectuó en la sacristía.
Se tenía planeado que la labor de restauración durara siete días, para que la Catedral fuese abierta al público el domingo 29, pero no se terminaron en ese lapso, así que la catedral continuó con la entrada principal cerrada varios días más, así que la gente entraba por el costado poniente.
El mismo domingo, se hizo una misa solemne a la que asistieron solamente los miembros del cabildo, ya que continuaba siendo un riesgo la cantidad de feligreses dentro.
Titular del 18 de enero de 1967. Hemeroteca de El Universal. 

Titular del 19 de enero de 1967. Hemeroteca de El Universal. 
La restauración estuvo a cargo de Manuel Castillo Negrete, al frente de 11 expertos en el tema. El coro fue restaurado hasta 1979, mientras que la reconstrucción total terminó en 1972. Las misas se siguieron realizando con el mismo horario en la parroquia del Sagrario, anexa a la Catedral.
Las llamas devoraron el Altar del Perdón recubierto de laminilla de oro de 23 quilates que estaba ubicado a diez metros de la puerta principal, en la nave central de la Catedral Metropolitana de la Ciudad de México, afortunadamente, no hubo víctimas.
En entrevista para este diario, Cecilia Colin señala la importancia de la conservación preventiva para evitar tragedias como éstas. “Es increíble de que en la actualidad estas cosas siguen pasando. Prevenirlo es menos costoso que llevar a cabo las restauraciones”, afirma.
En el ámbito de la conservación del patrimonio cultural existen planes de prevención de riesgos, donde, entre otras cosas, se establece cómo se debe de actuar en situación de incendio, inundación, robo… a quién acudir primero, qué piezas priorizar, etc. También se incluyen revisiones constantes de los inmuebles, de instalaciones eléctricas, filtraciones, entre otros factores que representan un riesgo para el patrimonio. El gobierno debería invertir en estos mecanismos de prevención, comenta la restauradora. 
Lo que pasó en Paris el lunes pasado puede parecer un hecho lejano para los mexicanos, aunque si nos remontamos a nuestro pasado, en solo una noche, 4 siglos de historia y arte sacro terminaron hechos ceniza en uno de los recintos más antiguos e importantes de nuestra nación.
 

En la imagen principal se encuentra la primera plana del 19 de enero de 1967, hemeroteca de El Universal. Las fotografías comparativas son del Altar del Perdón pocos días después del incendio y en 2009. Foto antigua: El Universal. Foto actual: EFE
 Fuentes:
Hemeroteca EL UNIVERSAL
Entrevista a Cecilia Colin
Mariana Pascual Cáceres, DE PATRIMONIO Y CENIZAS. El incendio en la Catedral Metropolitana de México y la primera restauración de sus órganos históricos, 1967-1977. Revista CR Conservación y restauración no. 7 (2015). Disponible en https://mediateca.inah.gob.mx/islandora_74/islandora/object/articulo%3A1...
  
",El día que se incendió la Catedral Metropolitana
"Claudia Martínez ingresó a los Tribunales de Jesús porque quería interpretar a Claudia, la esposa de Poncio Pilatos, pues a sus 15 años le llamaban la atención todas las alhajas que usaban las esposas del representante de Roma o la de Herodes. Además veía a Claudia que era quien hablaba más, pero la llamaron para hacer a la Virgen María, papel con el cual se tenía que comprometer.
“Formar parte de este grupo te ayuda a fortalecer tu espíritu y la mente. No son muchos, pero sí he tenido momentos difíciles en la vida”, indica Claudia, cuyos ojos se humedecen, al recordar las experiencias pasadas.
En esa primera ocasión, fue una de las piadosas. Luego, durante cinco años fue la Virgen María.
“Desde muy chica, sin que te lo digan tus papás, vas viendo que todo mundo participa en las tradiciones. Entonces te dan ganas. Yo desde muy chica estuve participando tanto en eso, como en las fiestas patronales, en la del 12 de diciembre, donde me vestía de china poblana. Pero inquietud mía, no recuerdo que alguien de mi familia me dijera que participará. Los vas viviendo”, indica.
Narra que cuando entró a los Tribunales de Jesús, siempre les dan un papel para ir escalando con los años. Sin embargo, quien interpretaba a la Virgen María, que llevaba ya muchos años se iba a casar. En ese tiempo, dice, eran más rigurosos con los actores que tomarían parte en la representación de la Pasión de Cristo.
“A mí nunca me lo dijeron. Iban a empezar los ensayos y no me dijeron a mí, aunque me veían todos los días los señores que estaban en el comité. Primero se lo dijeron a mi padre, como jefe de familia.
Recuerdo cuando mi papá les dijo que había que preguntarme si quería. Le decían: Es que si tú le dices, ella tiene que decir que sí (risas). Mi papá les dijo: Mejor le preguntamos. Me llamaron, estaban en la sala, y mi papá ya me dijo que los señores habían ido para que pudiera representar el papel de la virgen María. Rápidamente dije que sí”.
Cuando aceptó, los integrantes del comité “le leyeron la cartilla”. Le dijeron que tenía que comprometerse con el papel, que empezara a ver la que llevó la Virgen María, cómo era la forma de conducirse, por lo que les preguntó porqué le dijeron a ella, pues siempre fue muy rebelde. No sintió que la limitarán, pero se le hizo raro que la eligieran a ella.
Luego de eso, le dijo que conservara esa imagen que tenían de ella, pues por una razón la habían seleccionado para el papel de María. Hubo quienes cuestionaban que fuera tan joven, pues se buscaba que fueran de mayor edad. Además, no podía llorar.
“Mi niñez y juventud fueron de mucha alegría, entonces no lloraba. En eso me enfoque. Me acuerdo que teníamos muchas más pláticas que ahora en la iglesia. Incluso era un retiro completo que veníamos a tomar a la Iglesia Chiquita. Me metí mucho y tenía inquietudes y había cursado algo de teatro, entonces me acerque a una persona y le pregunté cómo lo debía de hacer”, abunda la jóven.



Artículo


Preparan el Viacrucis en el Cereso 


Sociedad


230 personas privadas de la libertad participarán en las representaciones del Viacrucis en cuatro centros 







Su maestro de teatro le recomendó documentarse y pensar que tenía un hijo y en sus reacciones si viera que lo matan. Recuerda que le dijo que se consiguiera un peluche y se enfocara en ello. Todos estaban preocupados por ver si podía llorar.
Siguió todas las recomendaciones y consejos, pero estaba nerviosa porque no sabía si lloraría o no, si se correría el abundante maquillaje que le pusieron, aunado al vestuario de terciopelo que le pusieron y con el cual sudó todo el camino de la cruz.
A ella la mandaron al lugar donde se tenía que encontrar con Jesús. Dice que cuando vio que se acercaba, aún pensaba en qué se sentiría tener un hijo y que se lo maten, pues tenía 15 años.
“Empecé a ver la cruz como venía moviéndose muy lento y de un lado a otro, y empecé a sentir. Todavía ni siquiera llegaba, y el actor que interpretaba a Juan era una persona muy bromista, no sé qué tanto me decía, pero cuando me voltea a ver, me dice ‘ya estás llorando’. Recuerdo mucho que la primeras planas de los periódicos de esa época decían que la virgen de La Cañada lloró de verdad”.
Luego de eso le dejaron el papel varios años. Desde entonces le tiene mucho cariño a la tradición.
Claudia dejó La Cañada por unos años. Se mudó a Quintana Roo, pero cuando regresó se reincorporó a la organización de la Pasión de Cristo. Pero ahora en el área de Difusión.
En 2012 participó nuevamente. En un inicio no se lo creyó, pues “ya estaba grande”. Sin embargo le dijeron que sería en el papel de Claudia, rol por el que había entrado y que ahora tendría la oportunidad de interpretar.
“Sí participé de Claudia. Le eché muchísimas ganas. Siento que me faltó, pues los actores eran más jóvenes. A Poncio Pilato le llevaba 15 años”, agrega.
Todos los años, precisa, se cumple la expectativa de quienes acuden a ver la Pasión. Además de que como ser humano siempre se llevan una lección.
“Dentro de todo esto, una parte que se ha quedado mucho en mí, a pesar de que he tenido malos momentos en mi vida, pertenecer al grupo te ayuda a fortalecer por lo menos tu espíritu y la mente. No son muchos, pero sí, he tenido momentos difíciles en la vida...Te ayuda a sostenerte”, puntualiza.
",Claudia y su travesía para revivir el Viacrucis 
"
Te dejamos una lista de los alimentos que puedes comer durante el Jueves y Viernes Santo. Los más típicos y otros que quizá no se te habían ocurrido.
Romeritos
No esperes hasta Navidad para disfrutarlos, anímate a prepararlos y dale a tu cuerpo una dósis de vitamina B2, hierro, potasio y vitamina C.
Caldo de pescado
Una combinación de carne blanca con verduras puede ser tu gran aliado para estos días. Debes saber que el pescado es un producto rico en vitaminas y minerales esenciales para el óptimo desarrollo físico y mental.

Charales
Los charales son producto endémico del país y resultan baratos. Son ricos en calcio, potasio, fósforo, sodio, hierro, magnesio, yodo, niacina y vitaminas C, E, B y A;  necesarias en el desarrollo del sistema nervioso, asegura el Gobierno de México.

Sopa de habas con nopales
Es otro de los más consumidos en Semana Santa, el cual ayuda a eliminar la grasa de las arterias y a reducir el colesterol, afirma un estudios de la UNAM.

Capirotada
Para el momento de postre puedes preparar (receta aquí)  la tradicional capirotada, una costumbre que ha pasado por varias generaciones.

 



Artículo


6 Pueblos Mágicos con playa para ir en Semana Santa

Destinos


Esnorquelear, liberar tortugas y dormir arrullado por las olas, serán una constante durante tu viaje 







",¿Qué puedes comer Jueves y Viernes Santo?
"La relación que forjó Emma Coronel, esposa de Joaquín ‘El Chapo’ Guzmán Loera, con su abogada, Mariel Colón Miro, parece más de hermandad que una profesional.
Los motivos para pensar es que se ve a la boricua muy junta a la ex reina de belleza y en las fotos de sus redes sociales se les ve sonriendo y pasándola muy bien en eventos deportivos o de compras.
Muchos en redes sociales tenían la duda si Colón Miro era la madre de Emma, la duda se despejó al conceder la abogada una entrevista donde dejó en claro su rol en el proceso legal que mantiene Chapo en los Estados Unidos.
Mariel habló recientemente que se encargará de asesorar a Coronel en el proceso del lanzamiento de su marca de ropa inspirada en el capo mexicano.
“Mi tarea es preparar al cliente para cada una de las audiencias del juicio, cuya etapa de deliberación inicia este lunes. El hecho de que la abogada sea una de las dos del bufete que habla español le facilitó su entrada al caso”.

Colón describió a la esposa de Guzmán Loera como una mujer positiva a sus 29 años, humilde, motivada, trabajadora, con visión a futuro y que siempre está dispuesta a ayudar a los nuevos talentos; así como una esposa comprometida.
VER: 'Chapo' Guzmán y su lujosa arma
",¿Quién es la abogada de Emma Coronel?
"Desde hace tres meses las lavadoras y secadores del Hospital General del Instituto de Seguridad y Servicios Sociales para Trabajadores de Gobierno del Estado (ISSSTE) sufren descomposturas, lo que ocasiona que las sábanas, batas y blancos se acumulen, situación que podría generar un foco de infección.
Derechohabientes del ISSSTE, ubicado en la calle Carlos Diez Gutiérrez del Barrio de San Sebastián, hicieron llegar esta denuncia a EL UNIVERSAL SAN LUIS POTOSÍ ya que se han dado cuenta de que pasan días y la ropa de las camas no es cambiada de manera regular, así como las batas y blancos.
El problema en la lavandería del ISSSTE inició en el mes de enero y desde ese entonces no se han destinado recursos para reparar las máquinas.
Ante el reclamo de los familiares por esta situación, las autoridades del hospital no dan una respuesta o solución, y así evitar que esta área se convierta en una fuente de contagio.
vkc
",Denuncian fallas en lavandería del ISSSTE 
